cell,name,lat,lon,top_station,CIS,CIS_rank,n_violations,road_class,dominant_poi,peak_hour,demand_index,blind_spot,reliable,devices,evening_share,observed,archetype,intervention
17263_2854,Huskur Main Road,12.84332339,77.68770356,Electronic City,30.10765409071971,245,10,2.0,none,3,2.0,41.62726777852357,False,3,0.0,10,(low-volume cell),
17222_2886,Magadi Main Road,12.989509975242797,77.50126691332159,Kamakshipalya,30.08268558050848,246,304,1.950657894736842,none,10,13.217391304347826,30.38610450754675,True,21,0.0,304,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17237_2891,Siddavanahalli Krishna Sharma Road,13.0115704,77.56911918863636,Malleshwaram,30.06979142789478,247,44,1.0113636363636365,poi_school,4,2.588235294117647,32.46562824556191,False,15,0.0,44,(low-volume cell),
17232_2868,Subramanyapura Main Road,12.906902350203008,77.5461006411206,K.S. Layout,30.052697916049446,248,130,1.7307692307692308,poi_hospital,12,18.571428571428573,38.88850259197709,True,5,0.0,130,(low-volume cell),
17273_2885,ITPL Main Road,12.98538823076923,77.73019473076923,Whitefield,30.00331554534572,249,13,1.8461538461538465,poi_techpark,7,1.8571428571428568,38.8246012924507,False,5,0.0,13,(low-volume cell),
17266_2887,Whitefield Road,12.994963999352748,77.69794125173954,Mahadevapura,29.94739024812429,250,291,1.1254295532646048,poi_market,11,10.03448275862069,28.671227913775205,True,27,0.0,291,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17241_2887,BTP032 - Windsor Circle,12.9922876411985,77.58861082328188,High ground,29.90818663762037,251,793,1.117906683480454,poi_school,4,16.520833333333332,25.24860048788942,True,46,0.0,793,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17246_2871,"BTP163 - 16th Main Road, BTM Layout",12.92110089117647,77.61034371568627,Mico Layout,29.88926213096885,252,102,2.0245098039215685,none,13,17.0,39.86785076953414,True,4,0.0,102,(low-volume cell),
17254_2880,"BTP148 - 17th Main, Doopanahalli Bus Stop",12.960235871274778,77.64466643587112,Jeevanbheemanagar,29.8765214293056,253,331,1.0075528700906344,poi_hospital,4,11.413793103448276,28.603379061521444,True,27,0.0,331,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17246_2887,Saunders Road,12.994348384929078,77.60974963492907,Pulikeshinagar(F.Town),29.82940282068554,254,564,1.00177304964539,poi_market,3,19.448275862068964,28.5582683405026,True,27,0.0,564,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17246_2874,BTP136 - Hosur-Tavarkere Road Junction,12.93560284,77.60875972333334,Mico Layout,29.81213058248855,255,150,1.4,none,2,7.894736842105263,31.420121758600477,True,17,0.0,150,(low-volume cell),
17243_2909,Allalasandra Main Road,13.093627214691942,77.59435891706161,Yelahanka,29.748092674914435,256,422,1.930094786729858,poi_mall,5,20.09523809523809,30.667716392002458,True,19,0.0,422,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17267_2874,Panathur Main Road,12.93683079624294,77.70322411268896,HAL Old Airport,29.732285248991708,257,143,1.972027972027972,poi_hospital,9,5.958333333333333,29.74335751335771,True,22,0.0,143,(low-volume cell),
17230_2883,BTP028 - Vijayanagar Bus Stand Junction,12.974051579411764,77.53798393823529,Vijayanagara,29.718128919076243,258,34,1.4411764705882353,poi_transit,11,2.833333333333333,34.51924989478708,False,10,0.0,34,(low-volume cell),
17227_2897,Mumbai Bengaluru Highway,13.037901733333332,77.52185643333333,Peenya,29.61947367085984,259,6,1.5,poi_metro,14,0.8571428571428571,38.32790592844208,False,5,0.0,6,(low-volume cell),
17251_2873,Srinivagilu Main Road,12.93195333618421,77.63200181052632,Adugodi,29.579212187864663,260,608,1.935032894736842,poi_market,2,24.32,29.315132289458063,True,23,0.0,608,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17260_2871,Outer Ring Road,12.923311069230769,77.67219177435898,Bellandur,29.56101757469173,261,78,2.2051282051282053,poi_techpark,4,5.2,32.77890143137934,True,13,0.0,78,(low-volume cell),
17242_2887,BTP032 - Windsor Circle,12.993730659955023,77.58943842993891,High ground,29.48206871666677,262,1334,1.2481259370314843,none,3,30.318181818181817,25.46191724524284,True,42,0.0,1334,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17247_2882,BTP141 - Palmgroove Junction,12.972894434707158,77.61515187136659,Halasur,29.46342194422792,263,461,1.0010845986984815,none,4,15.366666666666667,27.981949203241868,True,28,0.0,461,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17246_2883,BTP051 - Safina Plaza Junction,12.974526187000084,77.60836436158685,Ashok Nagar,29.44189564307804,264,566,1.0017667844522968,none,10,7.7534246575342465,22.11084085129557,True,71,0.0,566,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17231_2892,Shankara Nagar Main Road,13.016255332,77.543380572,Rajajinagar,29.38468610893285,265,25,1.66,poi_transit,11,5.0,40.62768203589287,False,3,0.0,25,(low-volume cell),
17232_2899,HMT Main Road,13.048432081395347,77.54769297674419,Jalahalli,29.324284371196143,266,43,1.848837209302325,none,6,10.75,42.38765165275888,False,2,0.0,43,(low-volume cell),
17269_2879,HAL Airport Road,12.956220294166666,77.7137778175,HAL Old Airport,29.31154321831846,267,120,1.35,poi_techpark,2,6.666666666666667,31.25864896521564,True,16,0.0,120,(low-volume cell),
17251_2916,Bagaluru Main Road,13.122238743043477,77.63087987260869,Chikkajala,29.28334241359234,268,115,1.930434782608696,none,13,6.764705882352941,31.616518221182226,True,15,0.0,115,(low-volume cell),
17250_2883,Old Madras Road,12.975842744479047,77.62632867756402,Halasur,29.24712492071777,269,160,1.346875,none,8,5.0,27.238121808928017,True,30,0.00625,160,(low-volume cell),
17277_2875,Varthur Main Road,12.93914850123457,77.74692058395061,Whitefield,29.23146338031132,270,81,1.7345679012345678,poi_transit,11,4.2631578947368425,30.808134831226983,True,17,0.0,81,(low-volume cell),
17277_2881,Whitefield Main Road,12.967084663942824,77.74945675019403,Whitefield,29.17850321658706,271,75,1.9466666666666668,poi_hospital,8,7.5,35.17196052326994,True,8,0.0,75,(low-volume cell),
17278_2885,Whitefield Main Road,12.98342605846154,77.75209436,Whitefield,29.14961082070766,272,65,1.8153846153846156,poi_techpark,9,6.5,35.13713343842087,True,8,0.0,65,(low-volume cell),
17261_2869,Sarjapura Main Road,12.913697857350366,77.67791021733947,Bellandur,29.103023369140157,273,178,1.8286516853932584,poi_school,9,8.090909090909092,29.69241469915683,True,20,0.0,178,(low-volume cell),
17233_2880,"BTP093 - Toll Gate, Mysore Road",12.96378675047619,77.55104888619047,Magadi Road,29.102002330380085,274,210,1.7809523809523808,none,11,8.75,29.112839878206746,True,22,0.0,210,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17236_2888,4th Main Road,12.996416275964911,77.56323587175439,Sheshadripuram,29.088416418726297,275,570,1.8596491228070176,poi_mall,9,47.5,33.756488883487215,True,10,0.0017543859649122,570,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17238_2877,BTP107 - National College Junction,12.949139340086214,77.57309468516284,V.V.Puram (C.Pet),29.034912852770837,276,95,1.168421052631579,poi_school,3,5.0,30.600982863676343,True,17,0.0,95,(low-volume cell),
17266_2883,Outer Ring Road,12.97535205327224,77.69757366033356,Mahadevapura,28.99202110101329,277,30,2.5,none,6,4.285714285714286,37.51597579967353,False,5,0.0,30,(low-volume cell),
17251_2884,Old Madras Road,12.980706333323075,77.63077463650097,Halasur,28.93860422423713,278,90,1.05,poi_metro,8,5.294117647058823,31.244312716382087,True,15,0.0,90,(low-volume cell),
17235_2893,Triveni Road,13.018885520693711,77.55802153970191,Yeshwanthpura,28.895399511055057,279,193,1.0544041450777202,poi_mall,7,8.041666666666666,28.90616012026045,True,22,0.0,193,(low-volume cell),
17257_2855,Road Number 1,12.850803523140495,77.65747107272728,Electronic City,28.890756894329837,280,121,1.0,poi_techpark,12,40.333333333333336,44.32082623708322,False,1,0.0,121,(low-volume cell),
17236_2882,BTP074 - Leprosy Hospital Junction,12.971127759574468,77.56573043617021,Magadi Road,28.890500635351792,281,47,1.9574468085106385,poi_hospital,11,9.4,39.94441422037229,False,3,0.0,47,(low-volume cell),
17240_2879,BTP167 - JC Road Junction,12.957656771684258,77.5816073428677,City Market,28.856889527460165,282,337,1.1112759643916914,none,8,9.628571428571428,26.40286571245673,True,33,0.0,337,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17237_2875,BTP109 - Dewan Madhava Rao Junction,12.940916660986549,77.56687073497758,Basavanagudi,28.822696687841,283,223,1.8856502242152464,poi_market,3,8.25925925925926,28.061226364606053,True,25,0.0,223,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17261_2868,Amrutha College Road,12.908057347039469,77.67595449936469,Bellandur,28.79479142789478,284,44,1.0227272727272727,poi_school,5,4.0,34.0464669769297,False,9,0.0,44,(low-volume cell),
17242_2875,8th Main Road,12.938284772115384,77.59263543076923,Wilson Garden,28.794236484482795,285,104,1.9855769230769231,poi_school,8,6.933333333333334,31.928651885270256,True,13,0.0,104,(low-volume cell),
17261_2867,Amrutha College Road,12.903377862857145,77.67586590142858,Bellandur,28.791397950558267,286,70,1.1,poi_school,14,4.375,31.491428502493488,True,14,0.0,70,(low-volume cell),
17223_2886,Magadi Main Road,12.98974409869281,77.5060438,Kamakshipalya,28.78103574383437,287,153,1.8529411764705883,none,11,6.652173913043479,29.07132601599353,True,21,0.0,153,(low-volume cell),
17227_2889,Dr Rajkumar Puniya Bhoomi Road,13.001860737142856,77.52559310999999,Rajajinagar,28.741397950558262,288,70,1.5714285714285714,none,11,17.5,41.5451012860263,False,2,0.0,70,(low-volume cell),
17239_2878,BTP119 - Minerva Circle,12.953259960263646,77.57823546983035,V.V.Puram (C.Pet),28.72151297613473,289,172,1.005813953488372,poi_school,13,6.615384615384615,28.20887809152264,True,24,0.0,172,(low-volume cell),
17227_2877,BTP098 - Nayandahalli Junction,12.949474807638888,77.52281158472222,Byatarayanapura,28.721022094065624,290,144,1.2256944444444444,none,7,16.0,35.359742668015706,True,7,0.0,144,(low-volume cell),
17250_2874,Srinivagilu Main Road,12.936833346178862,77.62730031593496,Adugodi,28.699531825177875,291,123,2.008130081300813,poi_hospital,12,7.235294117647059,30.986192015736584,True,15,0.0,123,(low-volume cell),
17261_2865,Amrita College Road,12.89522154125,77.67582984625,Bellandur,28.659942333847205,292,80,1.025,poi_school,4,20.0,41.4273588626272,False,2,0.0,80,(low-volume cell),
17250_2882,BTP144 - Commando Hospital Junction,12.972074801136364,77.62648010284092,Halasur,28.65073525994328,293,176,1.8778409090909087,poi_hospital,4,10.352941176470589,30.933507541673453,True,15,0.0,176,(low-volume cell),
17231_2895,Mumbai Bengaluru Highway,13.028240834599895,77.54139226169025,Yeshwanthpura,28.60500143641216,294,311,1.0514469453376205,none,10,9.147058823529411,26.359005544237743,True,32,0.0,311,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17254_2879,"BTP148 - 17th Main, Doopanahalli Bus Stop",12.959000619169458,77.645548736276,Jeevanbheemanagar,28.60438464829177,295,465,1.0258064516129033,none,3,35.76923076923077,32.68168905661813,True,11,0.0,465,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17260_2861,Amrutha College Road,12.87599570909091,77.67116537727273,Electronic City,28.558745298753784,296,66,1.0606060606060606,poi_school,11,5.076923076923077,32.6295442176822,True,11,0.0,66,(low-volume cell),
17231_2890,Shreepuram Main Road,13.008422967741936,77.54300160552995,Rajajinagar,28.53108289675676,297,217,1.7258064516129032,poi_transit,3,12.764705882352942,30.80432177225329,True,15,0.0,217,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17276_2878,Varthur Main Road,12.95358454,77.74455808857142,Whitefield,28.529680865099312,298,35,2.0,none,1,11.666666666666666,43.76690554859331,False,1,0.0,35,(low-volume cell),
17251_2869,17th Cross Road,12.912507099444248,77.63335795672506,HSR Layout,28.51423472768592,299,401,1.5224438902743145,poi_market,11,23.58823529411765,30.78613121063985,True,15,0.0,401,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17236_2864,Konanakunte Main Road,12.88884324838926,77.56291492983222,Thalagattapura,28.508873108638067,300,298,1.889261744966443,none,11,11.037037037037036,27.755693728644225,True,25,0.0,298,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17267_2880,Outer Ring Road,12.96101970940276,77.70168520797506,HAL Old Airport,28.50837829836449,301,138,2.391304347826087,none,10,8.625,31.18186753024872,True,14,0.0,138,(low-volume cell),
17267_2887,Whitefield Road,12.993555371794873,77.70385061282052,Mahadevapura,28.46478042504136,302,39,1.1538461538461535,poi_metro,7,3.5454545454545454,33.20839745016652,False,9,0.0256410256410256,39,(low-volume cell),
17242_2898,Hebbal Flyover,13.042756973804895,77.59037173873229,Kodigehalli,28.463581677255835,303,78,2.743589743589744,none,11,3.12,27.985536342297905,True,23,0.0128205128205128,78,(low-volume cell),
17223_2898,Mumbai Bengaluru Highway,13.045279301626016,77.50679013658535,Peenya,28.445331283172457,304,123,1.8211382113821135,none,6,5.857142857142857,28.8989500523791,True,19,0.024390243902439,123,(low-volume cell),
17239_2870,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",12.917368440394087,77.57805314236452,Jayanagara,28.42022083287452,305,203,1.5788177339901477,poi_hospital,5,6.34375,26.57701573651444,True,30,0.0,203,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17265_2876,Outer Ring Road,12.942694949784514,77.69680990976822,HAL Old Airport,28.419385296825133,306,37,2.5135135135135136,none,5,2.466666666666667,31.51299602698933,False,13,0.0,37,(low-volume cell),
17223_2902,Hesaraghatta Main Road,13.059925617723524,77.50669386994943,Chikkabanavara,28.3736826271203,307,22,1.75,poi_mall,10,1.8333333333333333,32.95760119043825,False,10,0.0,22,(low-volume cell),
17240_2875,"BTP186 - 9th Cross, 4th Main, Jayanagar",12.93937704575272,77.58375273755341,Wilson Garden,28.370367684964464,308,476,2.0892857142857144,poi_school,3,14.424242424242424,25.71181654171677,True,31,0.0357142857142857,476,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17230_2898,HMT School,13.0445233,77.5383443,Jalahalli,28.33333333333333,309,1,1.0,poi_school,7,0.3333333333333333,43.46569208889373,False,1,0.0,1,(low-volume cell),
17264_2854,New Fruit Market Road,12.8443872,77.6881485,Electronic City,28.33239263913585,310,2,1.0,poi_market,3,0.6666666666666666,43.46424898568183,False,1,0.0,2,(low-volume cell),
17245_2873,"BTP127 - Sagar Hospital, Jayanagar",12.93087184723032,77.60639564752186,Mico Layout,28.315380700269525,311,343,1.6151603498542273,poi_school,2,42.875,35.686575922143376,True,6,0.0,343,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17231_2884,BTP067 - Jai Muni Rao Circle,12.978528814938503,77.54273588479917,Magadi Road,28.2957717296086,312,365,1.063013698630137,none,11,8.295454545454545,24.437382773017,True,42,0.0,365,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17274_2896,MBT Road,13.03542796893204,77.73534413009709,K.R. Pura,28.200219828861385,313,103,1.2815533980582523,none,2,8.583333333333334,32.756114559269314,True,10,0.0,103,(low-volume cell),
17223_2882,Kengeri Main Road,12.971569825438596,77.50755865087719,Jnanabharathi,28.142062990263057,314,114,1.824561403508772,none,10,7.6,31.205485619793347,True,13,0.0,114,(low-volume cell),
17249_2896,5th Cross Road,13.03456049271137,77.62412647784257,K.G. Halli,28.095555627383234,315,343,1.7230320699708457,none,4,42.875,35.409524935748806,True,6,0.0,343,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17221_2899,Mumbai Bengaluru Highway,13.04890807813793,77.49734607250574,Chikkabanavara,28.08544837394225,316,145,1.0517241379310345,none,11,6.904761904761905,28.95367359805917,True,19,0.0,145,(low-volume cell),
17234_2881,8th Main Road,12.964711415422888,77.55489615771144,Magadi Road,28.079447689138743,317,201,1.7860696517412935,none,11,7.730769230769231,27.578272683558303,True,24,0.0,201,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17257_2879,Old Airport Road,12.95907184363985,77.65837463590208,Jeevanbheemanagar,28.07268774378458,318,65,1.1615384615384616,poi_mall,4,3.421052631578948,29.58685775779446,True,17,0.0,65,(low-volume cell),
17237_2880,BTP085 - Briyand Circle,12.962423378590232,77.569382211947,Chamarajpet,28.05244646713552,319,74,1.445945945945946,poi_market,7,3.083333333333333,28.06289316172344,True,22,0.0,74,(low-volume cell),
17256_2860,Hosa Road,12.87080780852355,77.65447645951079,Electronic City,28.028929510516416,320,414,1.2789855072463767,poi_school,12,17.25,28.039367447420272,True,22,0.0,414,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17249_2870,BTP137 - Madiwala Traffic PS Junction,12.91735151111111,77.6227917925926,Madiwala,27.970942599647795,321,54,2.6203703703703702,none,10,3.6,31.015737807401432,True,13,0.0,54,(low-volume cell),
17237_2887,South End Road,12.993354808450704,77.56892484929577,Sheshadripuram,27.96412292187552,322,71,1.2535211267605637,poi_mall,9,7.888888888888889,34.42789003872484,True,7,0.0,71,(low-volume cell),
17232_2881,1st Main Road,12.967651511219511,77.54599938585366,Vijayanagara,27.88030029234973,323,205,1.6902439024390243,none,4,9.318181818181818,28.444929164826146,True,20,0.0,205,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17251_2904,Thanisandra Main Road,13.071452838095237,77.63356709238094,Hennuru,27.80131749119561,324,105,1.9142857142857144,none,7,11.666666666666666,34.22745294721246,True,7,0.0,105,(low-volume cell),
17246_2869,"BTP163 - 16th Main Road, BTM Layout",12.913636012448134,77.60832211120332,Mico Layout,27.756971431776574,325,241,2.4356846473029043,none,12,30.125,34.9827988842626,True,6,0.0,241,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17258_2854,1st Main Road,12.8453323,77.6653119,Electronic City,27.67137445970337,326,4,2.0,poi_techpark,6,0.8,38.258833151299,False,3,0.0,4,(low-volume cell),
17255_2870,27th Main Road,12.917239937142858,77.65172178628572,HSR Layout,27.644181539823187,327,175,1.9285714285714288,none,11,25.0,35.77185743747755,True,5,0.0,175,(low-volume cell),
17237_2879,BTP214 - 5th Main Chamrajpet  Junction,12.957844766078573,77.56820746325843,Chamarajpet,27.610040208900795,328,203,1.480295566502463,none,10,9.666666666666666,28.46356880595503,True,19,0.0,203,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17223_2880,Mallathahalli Road,12.9610631,77.50535037777779,Jnanabharathi,27.59651164585249,329,27,1.351851851851852,poi_mall,4,1.9285714285714288,31.0474555663384,False,12,0.0,27,(low-volume cell),
17229_2877,BTP098 - Nayandahalli Junction,12.947535516831683,77.53352306930694,Byatarayanapura,27.566803378246316,330,101,1.0,none,6,5.611111111111111,29.39800963311942,True,16,0.0,101,(low-volume cell),
17244_2868,BTP130 - GD Mara Junction,12.908031759313726,77.60080993415033,Mico Layout,27.5473267522902,331,612,1.6225490196078431,none,11,29.142857142857142,28.398916644140375,True,19,0.0,612,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17241_2867,"BTP221 - 15th Cross, 24th Main, JP Nagar",12.904363592405064,77.58569813544304,J.P. Nagar,27.529662005250486,332,79,2.3227848101265822,poi_hospital,9,4.9375,29.89753120398181,True,14,0.0126582278481012,79,(low-volume cell),
17229_2868,4th Main Road,12.907726597180858,77.53302121786982,K.S. Layout,27.518234248470907,333,68,1.8088235294117647,none,5,11.333333333333334,36.70525058972272,True,4,0.0,68,(low-volume cell),
17228_2880,BTP017 - Attiguppe Circle,12.96083009220836,77.52825816565488,Byatarayanapura,27.51269304339243,334,983,1.9354018311291965,none,12,51.73684210526316,28.99665835484311,True,17,0.0,983,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17267_2881,Outer Ring Road,12.9669613618387,77.70200594467208,HAL Old Airport,27.51001684899282,335,58,2.155172413793104,none,9,3.0526315789473686,28.99383781326347,True,17,0.0,58,(low-volume cell),
17233_2899,Jalahalli Main Road,13.0465977025,77.549326905,Jalahalli,27.490526697341743,336,40,1.9125,none,11,5.714285714285714,35.573026478713,False,5,0.0,40,(low-volume cell),
17265_2889,IOC Main Road,13.0020971,77.69328056666667,K.R. Pura,27.462901703545704,337,3,1.8333333333333333,poi_transit,10,1.0,42.13037750519552,False,1,0.0,3,(low-volume cell),
17240_2876,BTP185 - RV Teachers College,12.94437825,77.58158669166666,Wilson Garden,27.330650622952454,338,24,1.0833333333333333,poi_school,11,1.8461538461538465,31.226395406053275,False,11,0.0,24,(low-volume cell),
17276_2885,Mims Gulmohar Road,12.985459871698112,77.74565409339623,Whitefield,27.238386323972662,339,106,1.0,poi_techpark,10,26.5,39.372528804757664,False,2,0.0,106,(low-volume cell),
17244_2873,"BTP127 - Sagar Hospital, Jayanagar",12.9313209625,77.600964725,Mico Layout,27.213798092928528,340,8,1.875,poi_hospital,3,1.6,37.62618160390623,False,3,0.0,8,(low-volume cell),
17251_2915,Bellahali Main Road,13.121144252659574,77.63144922978724,Yelahanka,27.18668057597309,341,188,1.6117021276595744,none,13,20.88888888888889,33.47074578388968,True,7,0.0,188,(low-volume cell),
17252_2868,Hosapalya Main Road,12.907274001282053,77.6362599551282,HSR Layout,27.155889369563525,342,78,1.9038461538461535,none,10,8.666666666666666,33.43283734415819,True,7,0.0,78,(low-volume cell),
17264_2888,Whitefield Road,12.998362153333732,77.68983022126363,Mahadevapura,27.081244276812765,343,114,1.2763157894736843,poi_transit,1,7.6,30.02919079310512,True,13,0.0,114,(low-volume cell),
17266_2881,Outer Ring Road,12.968383270833334,77.70114113125,HAL Old Airport,27.075460156376497,344,48,2.09375,none,9,4.363636363636363,32.01355920245482,False,9,0.0,48,(low-volume cell),
17223_2899,Hesaraghatta Main Road,13.046553520833331,77.5067898475,Chikkabanavara,27.075432107207348,345,120,1.7916666666666667,none,11,7.0588235294117645,28.540424623631903,True,15,0.0416666666666666,120,(low-volume cell),
17228_2889,Dr Rajkumar Puniya Bhoomi Road,13.003512807017543,77.52697754385966,Rajajinagar,27.055909817598117,346,57,1.4912280701754386,none,11,11.4,37.40788304446136,True,3,0.0,57,(low-volume cell),
17278_2883,Whitefield Main Road,12.976447768421052,77.75122451052631,Whitefield,27.04308429954333,347,19,2.0,poi_techpark,8,3.1666666666666665,36.07147090074977,False,4,0.0,19,(low-volume cell),
17262_2850,Hosur Road,12.82712985925926,77.68231207037036,Electronic City,27.042190658198173,348,27,1.037037037037037,none,3,5.4,37.38891474090916,False,3,0.0,27,(low-volume cell),
17251_2867,Hosur Road,12.905070699345808,77.63041170981478,HSR Layout,26.93325623056638,349,198,1.3535353535353536,poi_techpark,11,10.421052631578949,28.385968180920955,True,17,0.0,198,(low-volume cell),
17235_2896,MS Ramaiah Road,13.033452664130436,77.55819146847826,Yeshwanthpura,26.88767773353821,350,184,1.048913043478261,none,10,15.333333333333334,31.231524343335344,True,10,0.0,184,(low-volume cell),
17278_2886,Whitefield Main Road,12.9877852,77.7538835,Mahadevapura,26.83333333333333,351,1,2.0,none,0,0.3333333333333333,41.16456721359936,False,1,0.0,1,(low-volume cell),
17239_2894,80 Feet Road,13.027105790292746,77.5785339055561,Kodigehalli,26.80885366030988,352,347,1.0389048991354466,poi_hospital,3,14.458333333333334,26.818837242553577,True,22,0.0,347,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17247_2889,Madhavaraya Mudaliar Road,13.001639295780592,77.61299258227848,Pulikeshinagar(F.Town),26.790044608268616,353,237,1.0147679324894514,poi_school,11,10.304347826086955,27.06025341554396,True,21,0.0,237,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17256_2879,Old Airport Road,12.958847449907196,77.65493219502929,Jeevanbheemanagar,26.764524239819448,354,119,1.084033613445378,poi_mall,4,4.76,26.38756008723332,True,23,0.0084033613445378,119,(low-volume cell),
17255_2861,Hosur Road,12.87569343360324,77.64816927246964,Hulimavu,26.74435644107012,355,247,1.062753036437247,none,2,49.4,36.97712494577471,True,3,0.0,247,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17240_2870,"BTP177 - Aurobindo Circle, ORR",12.918168671794872,77.58292426410256,Jayanagara,26.683583843844783,356,39,2.948717948717949,none,6,3.0,30.487094926994462,False,11,0.0,39,(low-volume cell),
17247_2893,Dr Ambedkar Medical College Road,13.020695370967742,77.61357114193548,K.G. Halli,26.675621151100405,357,31,1.3709677419354838,poi_school,6,5.166666666666667,35.581329461284575,False,4,0.0,31,(low-volume cell),
17261_2852,Hosur Road,12.83666365,77.67838715,Electronic City,26.66111324682938,358,14,1.2857142857142858,poi_techpark,4,2.8,36.86203172971218,False,3,0.0,14,(low-volume cell),
17222_2880,1st Cross Road,12.9608584,77.5023634,Jnanabharathi,26.580584781970952,359,6,1.5,poi_mall,3,2.0,40.776829894442976,False,1,0.0,6,(low-volume cell),
17245_2874,BTP126 - Dairy Circle,12.9364634163522,77.60578283773584,Mico Layout,26.47194167764157,360,159,1.0314465408805031,poi_techpark,3,13.25,30.748623927806243,True,10,0.0,159,(low-volume cell),
17235_2879,BTP091 - Sirsi Circle,12.958662055882352,77.55934051764706,Chamarajpet,26.461266173978203,361,34,1.8823529411764703,none,8,3.4,31.896585042711475,False,8,0.0,34,(low-volume cell),
17262_2931,Unnamed Road,13.19069966996587,77.68070501433446,Devanahalli Airport,26.368217256832065,362,293,1.0,none,5,26.63636363636364,31.01165755125273,True,9,0.0102389078498293,293,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17277_2880,Whitefield Main Road,12.961483,77.7477915051282,Whitefield,26.36136162162256,363,39,1.9230769230769231,none,8,3.25,30.62017907862028,False,10,0.0,39,(low-volume cell),
17264_2848,Hosur Road,12.818492275280898,77.68919602303372,Electronic City,26.3313005226982,364,178,1.0,none,2,11.125,28.800625423335564,True,14,0.0,178,(low-volume cell),
17227_2890,10th B Main Road,13.00754,77.5259183,Rajajinagar,26.24637445970337,365,4,1.75,poi_mall,11,1.3333333333333333,40.26412343700959,False,1,0.0,4,(low-volume cell),
17226_2874,Sri Sri Sri Tiruchi Mahaswamiji Road,12.936005218230564,77.51806129168901,Byatarayanapura,26.234843920071636,366,373,1.0067024128686326,poi_mall,11,24.866666666666667,29.090654973253823,True,13,0.0,373,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17267_2867,Chikkabellanduru Road,12.903771777790668,77.70394104671384,Bellandur,26.233913547633986,367,162,1.4444444444444444,poi_techpark,11,12.461538461538462,29.973328069939,True,11,0.0,162,(low-volume cell),
17239_2876,BTP185 - RV Teachers College,12.944783133595337,77.57926321552519,Basavanagudi,26.228394305834147,368,37,1.0,poi_school,4,2.642857142857143,29.5082551460512,False,12,0.0,37,(low-volume cell),
17252_2870,14th Main Road,12.916413707625038,77.63759001309174,HSR Layout,26.21627449600452,369,112,2.09375,poi_metro,3,5.333333333333333,27.026716633040955,True,19,0.0,112,(low-volume cell),
17277_2882,Whitefield Main Road,12.970159192664443,77.75002485656866,Whitefield,26.19587315410016,370,46,1.9782608695652173,none,7,4.181818181818182,30.973550633497904,False,9,0.0,46,(low-volume cell),
